# MODAL ANALYSIS REPORT

* 1. DOMAIN SIZE:
# This is the size of the problem: 1 for 1D problems, 2 for 2D problems, 3 for 3D problems.
3


* 2. EIGENVALUE ANALYSIS:
#          MODE        LAMBDA         OMEGA     FREQUENCY        PERIOD
# ------------- ------------- ------------- ------------- -------------
              1       71.1737       8.43645        1.3427      0.744766
              2       182.193       13.4979       2.14826      0.465494
              3       289.299       17.0088       2.70703      0.369408
              4       320.636       17.9063       2.84988      0.350892
              5       475.803       21.8129       3.47163      0.288049
              6       806.988       28.4075        4.5212       0.22118
              7       864.165       29.3967       4.67863      0.213738
              8       886.742       29.7782       4.73935      0.210999
              9       2064.93       45.4415       7.23225       0.13827
             10       2124.07       46.0876       7.33508      0.136331
             11       2207.23       46.9812       7.47729      0.133738
             12       7922.02       89.0057       14.1657      0.070593
             13       12574.2       112.135       17.8468     0.0560325
             14       12792.5       113.104       18.0011     0.0555522
             15       48900.9       221.135       35.1948     0.0284133
             16       50183.5       224.017       35.6534     0.0280478
             17       67862.1       260.504       41.4604     0.0241194
             18       74264.7       272.516       43.3722     0.0230562
             19       80458.2       283.651       45.1445     0.0221511
             20       80466.1       283.665       45.1468       0.02215


* 3. TOTAL MASS OF THE STRUCTURE:
# The total masses (translational and rotational) of the structure
# including the masses at fixed DOFs (if any).
#            MX            MY            MZ           RMX           RMY           RMZ
# ------------- ------------- ------------- ------------- ------------- -------------
        1220.17       1220.17       1220.17       3765.13        402370        402324


* 4. TOTAL FREE MASS OF THE STRUCTURE:
# The total masses (translational and rotational) of the structure
# including only the masses at free DOFs.
#            MX            MY            MZ           RMX           RMY           RMZ
# ------------- ------------- ------------- ------------- ------------- -------------
        1203.22       1203.22       1203.22       2490.82        401096        402324


* 5. CENTER OF MASS:
# The center of mass of the structure, calculated from free masses.
#             X             Y             Z
# ------------- ------------- -------------
             34             0     -0.304649


* 6. MODAL PARTICIPATION FACTORS:
# The participation factor for a certain mode 'a' in a certain direction 'i'
# indicates how strongly displacement along (or rotation about)
# the global axes is represented in the eigenvector of that mode.
#          MODE            MX            MY            MZ           RMX           RMY           RMZ
# ------------- ------------- ------------- ------------- ------------- ------------- -------------
              1  -2.06136e-05        1.3938   6.19371e-06     -0.499349   0.000715042  -0.000369747
              2       1.03201  -1.01732e-06   8.80265e-06  -4.44613e-06      0.923071  -0.000517769
              3   1.05807e-06   9.18796e-06   7.33652e-07  -1.00816e-05   4.24135e-05       21.0888
              4  -9.61797e-05  -7.53819e-05    0.00309223   3.72639e-05    -0.0019277   0.000897337
              5   0.000142776      0.817394  -6.30231e-05     -0.182587   -0.00433571   -0.00207087
              6  -0.000124944  -9.27388e-05   1.82917e-05   1.41812e-05    0.00496041      -14.4833
              7     0.0807184  -7.39803e-05   0.000191954  -2.96004e-05       -19.036   -0.00227794
              8  -2.60186e-05   1.80509e-05        1.1578   8.40632e-06    0.00320683   0.000122495
              9      0.374481  -1.54354e-05  -8.37258e-07    0.00203475      -7.15385   0.000909736
             10  -0.000113015     -0.123539     2.578e-05      0.339158    0.00199228   -0.00267618
             11  -0.000168195   3.85821e-05   5.12001e-06    0.00394493    0.00413468      -2.01903
             12  -0.000134664     -0.926412   0.000149749      -5.58963    -0.0458594   -0.00162325
             13      0.067165  -0.000762806   -0.00115227   -0.00404178       8.14171   0.000230593
             14    0.00107852   0.000146428     0.0645879    0.00077171      0.132641  -4.32907e-05
             15   0.000360784  -2.59597e-05      -1.02673  -0.000110926     -0.025849   1.81454e-06
             16     0.0949727   8.54007e-05     0.0028157    0.00036432      -5.66875  -4.77907e-06
             17   3.54488e-05  -6.87599e-06     -0.279042  -2.80313e-05   0.000205634   -3.4728e-06
             18     -0.100508       0.00023  -0.000730924   0.000864918      -4.56914   0.000336754
             19  -0.000483396   -0.00486988   0.000218124    0.00137706    -0.0372386     -0.140351
             20   0.000157517    0.00389565  -7.12538e-05   -0.00123742     0.0121406     -0.174213


* 7. MODAL PARTICIPATION MASSES:
# The modal participation masses for each mode.
#          MODE            MX            MY            MZ           RMX           RMY           RMZ
# ------------- ------------- ------------- ------------- ------------- ------------- -------------
              1             0       935.443             0       120.068   0.000246196   6.58306e-05
              2       1172.56             0             0             0       938.073   0.000295148
              3             0             0             0             0   1.34734e-06        333099
