 Pier  | MDrftR [%] | MuDispZ | MuDispY | MuCurvZ | MuCurvY |
 B1/P1 |   0.971    |  0.579  |  1.383  |  2.176  |  0.599  |

Abutment | MDispL | MDispT |
   A1    |  0.012 |  0.003 |
   A2    |  0.012 |  0.003 |

  Bearing  |  MDispL |  MDispT |
   J0/B1   |  0.048  |  0.028  |
   J0/B2   |  0.044  |  0.028  |
   J0/B3   |  0.040  |  0.028  |
   J0/B4   |  0.037  |  0.028  |
   J0/B5   |  0.037  |  0.028  |
   J1/B1   |  0.030  |  0.026  |
   J1/B2   |  0.022  |  0.026  |
   J1/B3   |  0.016  |  0.026  |
   J1/B4   |  0.016  |  0.026  |
   J1/B5   |  0.022  |  0.026  |
   J1/B6   |  0.023  |  0.030  |
   J1/B7   |  0.017  |  0.030  |
   J1/B8   |  0.013  |  0.030  |
   J1/B9   |  0.021  |  0.030  |
  J1/B10   |  0.028  |  0.030  |
   J2/B1   |  0.040  |  0.019  |
   J2/B2   |  0.043  |  0.019  |
   J2/B3   |  0.046  |  0.019  |
   J2/B4   |  0.050  |  0.019  |
   J2/B5   |  0.054  |  0.019  |

Analysis is SUCCESSFULLY completed, Peak Pier Drift: 0.97%% at B1-P1
