Record Sequence Number;H1 Filename;H2 Filename;Magnitude;Rjb;Vs30;Mechanism;Scale Factors
648;RSN648_WHITTIER.A_A-NYA090.AT2;RSN648_WHITTIER.A_A-NYA180.AT2;5.99;19.28;411.55;reverse;2.69
1736;RSN1736_NORTH392_SCS052.AT2;RSN1736_NORTH392_SCS142.AT2;5.28;6.68;251.24;normal;1.88
2705;RSN2705_CHICHI.04_CHY030N.AT2;RSN2705_CHICHI.04_CHY030E.AT2;6.2;30.46;204.71;unspecified;2.57
3866;RSN3866_CHICHI.06_CHY008N.AT2;RSN3866_CHICHI.06_CHY008W.AT2;6.3;70.03;210.73;normal;2.08
2623;RSN2623_CHICHI.03_TCU072N.AT2;RSN2623_CHICHI.03_TCU072E.AT2;6.2;21.18;468.14;normal;3.97
451;RSN451_MORGAN_CYC195.AT2;RSN451_MORGAN_CYC285.AT2;6.19;0.18;561.43;unspecified;0.4
230;RSN230_MAMMOTH.I_I-CVK090.AT2;RSN230_MAMMOTH.I_I-CVK180.AT2;6.06;1.1;382.12;4;1.12
5808;RSN5808_IWATE_55463NS.AT2;RSN5808_IWATE_55463EW.AT2;6.9;37.08;317.41;normal;2.47
640;RSN640_WHITTIER.A_A-GR2090.AT2;RSN640_WHITTIER.A_A-GR2180.AT2;5.99;14.46;285.28;reverse;2.83
4207;RSN4207_NIIGATA_NIG017NS.AT2;RSN4207_NIIGATA_NIG017EW.AT2;6.63;4.22;274.17;normal;0.93
265;RSN265_VICT_CPE045.AT2;RSN265_VICT_CPE315.AT2;6.33;13.8;471.53;unspecified;0.76
705;RSN705_WHITTIER.A_A-SOR225.AT2;RSN705_WHITTIER.A_A-SOR315.AT2;5.99;6.42;334.69;reverse;3.29
306;RSN306_SMART1.05_05C00EW.AT2;RSN306_SMART1.05_05C00NS.AT2;5.9;25.5;309.41;normal;3.02
4118;RSN4118_PARK2004_PG1090.AT2;RSN4118_PARK2004_PG1360.AT2;6.0;0.8;214.43;unspecified;2.78
947;RSN947_NORTHR_ARC172.AT2;RSN947_NORTHR_ARC262.AT2;6.69;39.41;330.5;normal;2.58
4893;RSN4893_CHUETSU_70031NS.AT2;RSN4893_CHUETSU_70031EW.AT2;6.8;61.16;561.59;normal;1.17
1261;RSN1261_CHICHI_HWA009-E.AT2;RSN1261_CHICHI_HWA009-N.AT2;7.62;52.37;373.23;reverse;2.08
725;RSN725_SUPER.B_B-POE270.AT2;RSN725_SUPER.B_B-POE360.AT2;6.54;11.16;316.64;unspecified;0.87
3717;RSN3717_WHITTIER.B_B-W70000.AT2;RSN3717_WHITTIER.B_B-W70270.AT2;5.27;18.58;241.41;reverse;2.4
130;RSN130_FRIULI.B_B-BUI000.AT2;RSN130_FRIULI.B_B-BUI270.AT2;5.91;10.99;310.68;normal;2.18
1212;RSN1212_CHICHI_CHY054-E.AT2;RSN1212_CHICHI_CHY054-N.AT2;7.62;48.49;172.1;reverse;1.75
3646;RSN3646_SMART1.40_40M05EW.AT2;RSN3646_SMART1.40_40M05NS.AT2;6.32;58.26;306.38;normal;0.91
3659;RSN3659_SMART1.40_40O10EW.AT2;RSN3659_SMART1.40_40O10NS.AT2;6.32;58.73;320.11;normal;1.21
1531;RSN1531_CHICHI_TCU104-E.AT2;RSN1531_CHICHI_TCU104-N.AT2;7.62;12.87;410.45;reverse;1.56
4099;RSN4099_PARK2004_TM2090.AT2;RSN4099_PARK2004_TM2360.AT2;6.0;3.22;522.74;unspecified;1.78
3656;RSN3656_SMART1.40_40O05EW.AT2;RSN3656_SMART1.40_40O05NS.AT2;6.32;57.77;286.03;normal;1.04
291;RSN291_ITALY_A-VLT000.AT2;RSN291_ITALY_A-VLT270.AT2;6.9;27.49;574.88;strike-slip;3.29
2619;RSN2619_CHICHI.03_TCU067N.AT2;RSN2619_CHICHI.03_TCU067E.AT2;6.2;27.66;433.63;normal;2.66
649;RSN649_WHITTIER.A_A-BRC000.AT2;RSN649_WHITTIER.A_A-BRC090.AT2;5.99;14.17;338.27;reverse;3.24
5991;RSN5991_SIERRA.MEX_E10320.AT2;RSN5991_SIERRA.MEX_E10230.AT2;7.2;19.36;202.85;unspecified;0.54
