Record Sequence Number;H1 Filename;H2 Filename;Magnitude;Rjb;Vs30;Mechanism;Scale Factors
727;RSN727_SUPER.B_B-SUP045.AT2;RSN727_SUPER.B_B-SUP135.AT2;6.54;5.61;362.38;unspecified;3.43
1492;RSN1492_CHICHI_TCU052-E.AT2;RSN1492_CHICHI_TCU052-N.AT2;7.62;0.0;579.1;reverse;1.98
4891;RSN4891_CHUETSU_70026NS.AT2;RSN4891_CHUETSU_70026EW.AT2;6.8;64.2;591.2;normal;1.92
4115;RSN4115_PARK2004_PRK090.AT2;RSN4115_PARK2004_PRK360.AT2;6.0;0.88;265.21;unspecified;3.06
4480;RSN4480_L-AQUILA_GX066XTE.AT2;RSN4480_L-AQUILA_GX066YLN.AT2;6.3;0.0;475.0;strike-slip;3.75
8064;RSN8064_CCHURCH_CCCCN26W.AT2;RSN8064_CCHURCH_CCCCN64E.AT2;6.2;3.22;198.0;reverse;1.84
4862;RSN4862_CHUETSU_65035NS.AT2;RSN4862_CHUETSU_65035EW.AT2;6.8;10.61;336.93;normal;3.95
4084;RSN4084_PARK2004_36531-93.AT2;RSN4084_PARK2004_36531003.AT2;6.0;0.95;269.55;unspecified;3.35
1114;RSN1114_KOBE_PRI000.AT2;RSN1114_KOBE_PRI090.AT2;6.9;3.31;198.0;unspecified;2.38
2627;RSN2627_CHICHI.03_TCU076N.AT2;RSN2627_CHICHI.03_TCU076E.AT2;6.2;13.04;614.98;normal;3.49
5991;RSN5991_SIERRA.MEX_E10320.AT2;RSN5991_SIERRA.MEX_E10230.AT2;7.2;19.36;202.85;unspecified;2.72
4850;RSN4850_CHUETSU_65013NS.AT2;RSN4850_CHUETSU_65013EW.AT2;6.8;13.68;561.59;normal;2.77
1054;RSN1054_NORTHR_PAR--L.AT2;RSN1054_NORTHR_PAR--T.AT2;6.69;5.54;325.67;normal;1.71
8063;RSN8063_CCHURCH_CBGSN89W.AT2;RSN8063_CCHURCH_CBGSS01W.AT2;6.2;5.52;187.0;reverse;2.39
1517;RSN1517_CHICHI_TCU084-E.AT2;RSN1517_CHICHI_TCU084-N.AT2;7.62;0.0;665.2;reverse;1.08
1108;RSN1108_KOBE_KBU000.AT2;RSN1108_KOBE_KBU090.AT2;6.9;0.9;1043.0;unspecified;3.02
732;RSN732_LOMAP_A02043.AT2;RSN732_LOMAP_A02133.AT2;6.93;43.06;133.11;reverse;3.02
1508;RSN1508_CHICHI_TCU072-E.AT2;RSN1508_CHICHI_TCU072-N.AT2;7.62;0.0;468.14;reverse;2.24
569;RSN569_SANSALV_NGI180.AT2;RSN569_SANSALV_NGI270.AT2;5.8;3.71;455.93;unspecified;2.15
265;RSN265_VICT_CPE045.AT2;RSN265_VICT_CPE315.AT2;6.33;13.8;471.53;unspecified;3.82
753;RSN753_LOMAP_CLS000.AT2;RSN753_LOMAP_CLS090.AT2;6.93;0.16;462.24;reverse;2.68
1231;RSN1231_CHICHI_CHY080-E.AT2;RSN1231_CHICHI_CHY080-N.AT2;7.62;0.11;496.21;reverse;1.09
1101;RSN1101_KOBE_AMA000.AT2;RSN1101_KOBE_AMA090.AT2;6.9;11.34;256.0;unspecified;2.65
759;RSN759_LOMAP_A01000.AT2;RSN759_LOMAP_A01090.AT2;6.93;43.77;116.35;reverse;3.1
4894;RSN4894_CHUETSU_1-G1NS.AT2;RSN4894_CHUETSU_1-G1EW.AT2;6.8;0.0;329.0;normal;1.08
4864;RSN4864_CHUETSU_65037NS.AT2;RSN4864_CHUETSU_65037EW.AT2;6.8;4.69;655.45;normal;3.8
767;RSN767_LOMAP_G03000.AT2;RSN767_LOMAP_G03090.AT2;6.93;12.23;349.85;reverse;3.96
1082;RSN1082_NORTHR_RO3000.AT2;RSN1082_NORTHR_RO3090.AT2;6.69;5.59;320.93;normal;3.56
1158;RSN1158_KOCAELI_DZC180.AT2;RSN1158_KOCAELI_DZC270.AT2;7.51;13.6;281.86;unspecified;2.94
828;RSN828_CAPEMEND_PET000.AT2;RSN828_CAPEMEND_PET090.AT2;7.01;0.0;422.17;normal;2.07
